 76 Freia 1999 08 10.000 236.10562 3.4118883 0.1645971 255.59310 204.72280 2.11748 7.90 0.15
 77 Frigga 1999 08 10.000 96.44460 2.6692635 0.1307467 61.33782 1.39205 2.43387 8.52 0.16
 78 Diana 1999 08 10.000 85.99102 2.6205817 0.2072608 151.60464 333.62417 8.68529 8.09 0.08
 79 Eurynome 1999 08 10.000 173.05113 2.4453299 0.1918472 200.49769 206.86620 4.62228 7.96 0.25
 80 Sappho 1999 08 10.000 217.80227 2.2963872 0.2000677 139.18878 218.89456 8.66606 7.98 0.15
 81 Terpsichore 1999 08 10.000 317.15114 2.8524507 0.2129239 50.33116 1.56674 7.82142 8.48 0.15
 82 Alkmene 1999 08 10.000 70.60069 2.7605281 0.2241510 110.59902 25.68629 2.83323 8.40 0.28
 83 Beatrix 1999 08 10.000 161.21245 2.4327944 0.0816819 166.34403 27.85514 4.97234 8.66 0.15
 84 Klio 1999 08 10.000 312.68589 2.3618695 0.2369396 14.74740 327.81376 9.33925 9.32 0.15
 85 Io 1999 08 10.000 18.91080 2.6546899 0.1912904 122.94499 203.49174 11.97003 7.61 0.15
 86 Semele 1999 08 10.000 144.65737 3.1178974 0.2049352 304.94776 87.08165 4.80178 8.54 0.15
 87 Sylvia 1999 08 10.000 78.76214 3.4879588 0.0800618 267.70471 73.34241 10.85753 6.94 0.15
 88 Thisbe 1999 08 10.000 309.50961 2.7689496 0.1615757 35.11051 276.89296 5.22190 7.04 0.14
 89 Julia 1999 08 10.000 196.40256 2.5515677 0.1816641 44.64766 311.71202 16.13620 6.60 0.15
 90 Antiope 1999 08 10.000 326.47213 3.1543116 0.1554623 238.16204 70.74552 2.23362 8.27 0.15
 91 Aegina 1999 08 10.000 265.79225 2.5898940 0.1060557 72.90060 10.97043 2.11646 8.84 0.15
 92 Undina 1999 08 10.000 8.24209 3.1946620 0.0961522 244.48656 102.02742 9.89558 6.61 0.15
 93 Minerva 1999 08 10.000 6.43952 2.7540734 0.1401025 273.47764 4.56986 8.56212 7.7 0.15
 94 Aurora 1999 08 10.000 129.46062 3.1631572 0.0831100 56.97683 2.86704 7.98218 7.57 0.15
 95 Arethusa 1999 08 10.000 192.77099 3.0718868 0.1448960 154.29684 243.44115 12.98531 7.84 0.15
 96 Aegle 1999 08 10.000 219.19253 3.0633338 0.1327844 205.02101 322.15725 15.94408 7.67 0.15
